id,hdate,product,price
17369,2015-06-30,4,1091.43994
17370,2015-07-01,4,1092.06995
17371,2015-07-02,4,1108.25
17372,2015-07-03,4,1113.65002
17373,2015-07-06,4,1097.81995
17374,2015-07-07,4,1098
17375,2015-07-08,4,1081.19995
17376,2015-07-09,4,1076
17377,2015-07-10,4,1079.82996
17378,2015-07-13,4,1081.71997
17379,2015-07-14,4,1084.88
17380,2015-07-15,4,1069.81006
17381,2015-07-22,4,1073.68994
17382,2015-07-23,4,1077.32996
17383,2015-07-24,4,1061.62
17384,2015-07-27,4,1040.78003
17385,2015-07-28,4,1032.60999
17386,2015-07-29,4,1037.77002
17387,2015-07-30,4,1027.45996
17388,2015-07-31,4,1043.54004
17389,2015-08-03,4,1045.85999
17390,2015-08-04,4,1050.27002
17391,2015-08-05,4,1064.07996
17392,2015-08-06,4,1061.54004
17393,2015-08-07,4,1050.46997
17394,2015-08-10,4,1035.98999
17395,2015-08-11,4,1003.12
17396,2015-08-12,4,967.54999
17397,2015-08-13,4,998.46002
17398,2015-08-14,4,996.46997
17399,2015-08-18,4,971.95001
17400,2015-08-19,4,971.71997
17401,2015-08-20,4,962.34998
17402,2015-08-21,4,945.60999
17403,2015-08-24,4,904.70001
17404,2015-08-25,4,920.69
17405,2015-08-26,4,933.41998
17406,2015-08-27,4,971.58002
17407,2015-08-28,4,980.21002
17408,2015-08-31,4,984.69
17409,2015-09-01,4,975.03003
17410,2015-09-02,4,968.46002
17411,2015-09-03,4,974.72998
17412,2015-09-04,4,971.28998
17413,2015-09-07,4,945.01001
17414,2015-09-08,4,953.23999
17415,2015-09-09,4,967.02002
17416,2015-09-10,4,964.65997
17417,2015-09-11,4,972.06
17418,2015-09-14,4,975
17419,2015-09-15,4,967.62
17420,2015-09-16,4,965.45001
17421,2015-09-17,4,970.96997
17422,2015-09-18,4,970.53003
17423,2015-09-21,4,975.82001
17424,2015-09-22,4,972.25
17425,2015-09-23,4,960.60999
17426,2015-09-25,4,952.26001
17427,2015-09-28,4,934.15997
17428,2015-09-29,4,944.64001
17429,2015-09-30,4,940.53998
17430,2015-10-01,4,948.72998
17431,2015-10-02,4,946.63
17432,2015-10-05,4,974.65002
17433,2015-10-06,4,986.84998
17434,2015-10-07,4,999.45001
17435,2015-10-08,4,994.41998
17436,2015-10-09,4,1025.18994
17437,2015-10-12,4,1033.55005
17438,2015-10-13,4,1006.81
17439,2015-10-15,4,1013.21997
17440,2015-10-16,4,1013.03003
17441,2015-10-19,4,1023.58002
17442,2015-10-20,4,1035.87
17443,2015-10-21,4,1043.68005
17444,2015-10-22,4,1036.80005
17445,2015-10-23,4,1054.06006
17446,2015-10-26,4,1057.53003
17447,2015-10-27,4,1055.15002
17448,2015-10-28,4,1049.68005
17449,2015-10-29,4,1021.32001
17450,2015-10-30,4,1021.53003
17451,2015-11-02,4,1017.10999
17452,2015-11-03,4,1035.80005
17453,2015-11-04,4,1054.47998
17454,2015-11-05,4,1048.48999
17455,2015-11-06,4,1043.25
17456,2015-11-09,4,1022.70001
17457,2015-11-10,4,1017.47998
17458,2015-11-11,4,1011.03998
17459,2015-11-12,4,1011.67999
17460,2015-11-13,4,999.28003
17461,2015-11-16,4,991.84003
17462,2015-11-17,4,1007.45001
17463,2015-11-18,4,1008.60999
17464,2015-11-19,4,1017.96997
17465,2015-11-20,4,1016.77002
17466,2015-11-23,4,1015.28003
17467,2015-11-24,4,1009
17468,2015-11-25,4,1014.59003
17469,2015-11-26,4,1014.37
17470,2015-11-27,4,1000.65997
17471,2015-11-30,4,976.32001
17472,2015-12-02,4,1001.48999
17473,2015-12-03,4,996.59003
17474,2015-12-04,4,997.71002
17475,2015-12-07,4,997.34998
17476,2015-12-08,4,1002.46997
17477,2015-12-10,4,1002.40997
17478,2015-12-11,4,985.87
17479,2015-12-14,4,973.82001
17480,2015-12-15,4,983.27002
17481,2015-12-16,4,998.02002
17482,2015-12-17,4,1013.09998
17483,2015-12-18,4,1000.67999
17484,2015-12-21,4,1007.83002
17485,2015-12-22,4,1009.83002
17486,2015-12-23,4,1007.04999
17487,2015-12-28,4,1012.39001
17488,2015-12-29,4,1018.40002
17489,2015-12-30,4,1027.80005
17490,2016-01-04,4,1003.78003
17491,2016-01-05,4,1013.58002
17492,2016-01-06,4,1020.59998
17493,2016-01-07,4,1007.22998
17494,2016-01-08,4,1015.09003
17495,2016-01-11,4,1007.28003
17496,2016-01-12,4,1014.25
17497,2016-01-13,4,1018.15002
17498,2016-01-14,4,1013.76001
17499,2016-01-15,4,1010.51001
17500,2016-01-18,4,1005.67999
17501,2016-01-19,4,1012.62
17502,2016-01-20,4,999.72998
17503,2016-01-21,4,997.96997
17504,2016-01-22,4,1012.21002
17505,2016-01-25,4,1018.96002
17506,2016-01-26,4,1015.34003
17507,2016-01-27,4,1031.34998
17508,2016-01-28,4,1035.32996
17509,2016-01-29,4,1042.68005
17510,2016-02-01,4,1038.83997
17511,2016-02-02,4,1038.40002
17512,2016-02-03,4,1038.80005
17513,2016-02-04,4,1056.65002
17514,2016-02-05,4,1079.52002
17515,2016-02-09,4,1072.82996
17516,2016-02-10,4,1071.06006
17517,2016-02-11,4,1077.70996
17518,2016-02-12,4,1067.81006
17519,2016-02-15,4,1078.60999
17520,2016-02-16,4,1074.71997
17521,2016-02-17,4,1077.69995
17522,2016-02-18,4,1084.59998
17523,2016-02-19,4,1062.31006
17524,2016-02-22,4,1069.76001
17525,2016-02-23,4,1059.71997
17526,2016-02-24,4,1060.39001
17527,2016-02-25,4,1052.12
